证券代码,证券简称,公司名称,到期日期
143013.SH,17渝信02,同方国信投资控股有限公司,20240309
155251.SH,19湖州01,湖州市城市投资发展集团有限公司,20240321
101900405.IB,19常熟城投MTN001,常熟市城市经营投资有限公司,20240325
112882.SZ,19魏桥01,山东魏桥铝电有限公司,20240326
155305.SH,19禹洲02,厦门禹洲鸿图地产开发有限公司,20240403
127474.SH,PR三明国,三明市投资发展集团有限公司,20240417
1780040.IB,16营经开债02,营口经济技术开发区城市开发建设投资有限公司,20240419
101900556.IB,19渝文资MTN001,重庆市国有文化资产经营管理有限责任公司,20240419
124713.SH,PR黔铁投,贵州铁路投资有限责任公司,20240423
127489.SH,PR六交投,六盘水市交通投资开发有限责任公司,20240502
155407.SH,19恒大02,恒大地产集团有限公司,20240506
101900677.IB,19合川城投MTN001,重庆市合川城市建设投资(集团)有限公司,20240509
101900682.IB,19阜阳建投MTN001,阜阳市建设投资控股集团有限公司,20240509
101900727.IB,19武汉新港MTN001,武汉新港建设投资开发集团有限公司,20240523
101900769.IB,19新长宁MTN001,上海新长宁(集团)有限公司,20240606
155451.SH,19泰达02,天津泰达投资控股有限公司,20240610
1980185.IB,19亚迪绿色债01,比亚迪股份有限公司,20240614
124815.SH,14天瑞02,天瑞集团股份有限公司,20240625
101900864.IB,19淮南城投MTN003,淮南市城市建设投资有限责任公司,20240628
101900870.IB,19水发集团MTN001,水发集团有限公司,20240703
101901072.IB,19奉贤南桥MTN001,上海奉贤新城建设发展有限公司,20240815
127585.SH,17宝开01,宝应县开发投资有限公司,20240821
155638.SH,19包钢联,内蒙古包钢钢联股份有限公司,20240822
1680348.IB,16宜章养老债,宜章县兴宜建设投资有限责任公司,20240902
114564.SZ,19泰丰02,山东泰丰控股集团有限公司,20240904
127621.SH,17新宇01,毕节市七星关区新宇建设投资有限公司,20240908
101771010.IB,17宜兴城投MTN001,宜兴市城市发展投资有限公司,20240908
031900699.IB,19青岛财富PPN001,青岛全球财富中心开发建设有限公司,20240912
127629.SH,17黄岩02,台州市黄岩国有资本投资运营集团有限公司,20240914
127634.SH,17安顺债,安顺市城市建设投资有限责任公司,20240915
127654.SH,17温高新,温州高新技术产业开发区投资建设开发有限公司,20240918
155712.SH,19钢联03,内蒙古包钢钢联股份有限公司,20240920
127636.SH,17淮安债,淮安新城投资开发有限公司,20240920
127638.SH,17武隆01,重庆市武隆区建设投资(集团)有限公司,20240921
101901332.IB,19北辰科技MTN002,天津北辰科技园区总公司,20241008
101901335.IB,19黔铁投MTN002,贵州铁路投资有限责任公司,20241010
114579.SZ,19益阳01,益阳市城市建设投资运营集团有限责任公司,20241011
101901200.IB,19咸宁高新MTN001,咸宁高新投资集团有限公司,20241016
101901368.IB,19蚌埠城投MTN001,蚌埠市城市投资控股有限公司,20241018
102002022.IB,20阳光城MTN003,阳光城集团股份有限公司,20241028
127695.SH,17乐行债,安徽乐行城市建设集团有限公司,20241101
101900065.IB,19宜春城投MTN001,宜春市城市建设投资开发有限公司,20241108
101901571.IB,19陕煤化MTN005,陕西煤业化工集团有限责任公司,20241119
163013.SH,19平煤债,平顶山天安煤业股份有限公司,20241120
101900074.IB,19湘建工MTN001,湖南建工集团有限公司,20241201
101900859.IB,19綦江城投MTN001,重庆市綦江区城市建设投资有限公司,20241204
114910.SZ,21南国债,南国置业股份有限公司,20241206
031900096.IB,19丽水城建PPN001,丽水市城市建设发展有限公司,20241208
101901677.IB,19嘉兴国资MTN001,浙江嘉兴国有资本投资运营有限公司,20241211
101901694.IB,19湛江交投MTN001,湛江市交通投资集团有限公司,20241212
101901738.IB,19阜阳交投MTN002,阜阳交通能源投资有限公司,20241223
163138.SH,20宝龙01,上海宝龙实业发展(集团)有限公司,20250120
102000094.IB,20信阳华信MTN001,信阳华信投资集团有限责任公司,20250120
102000108.IB,20香城投资MTN001,成都香城投资集团有限公司,20250212
152396.SH,G20晋开,福建省晋江市工业园区开发建设有限公司,20250219
032000107.IB,20上饶国资PPN001,上饶市国有资产经营集团有限公司,20250220
102000212.IB,20渝富MTN001,重庆渝富控股集团有限公司,20250303
102000233.IB,20芜湖宜居MTN001,芜湖宜居投资(集团)有限公司,20250304
032000159.IB,20郴投集团PPN001,郴州市发展投资集团有限公司,20250305
114678.SZ,20川商02,四川省商业投资集团有限责任公司,20250310
102000302.IB,20包钢MTN001,内蒙古包钢钢联股份有限公司,20250311
102000336.IB,20衢州国资MTN001,衢州市国有资产经营有限公司,20250313
102000376.IB,20宣城国资MTN001,宣城市国有资产投资有限公司,20250317
102000400.IB,20江宁滨江MTN001,南京江宁滨江新城开发建设有限公司,20250319
031800141.IB,18怀化城投PPN001,怀化市城市建设投资有限公司,20250320
163266.SH,20湖州01,湖州市城市投资发展集团有限公司,20250320
114700.SZ,20临汾01,临汾市投资集团有限公司,20250327
102000548.IB,20建德国资MTN001,建德市国有资产经营有限公司,20250330
102000585.IB,20济宁高新MTN001,济宁高新城建投资有限公司,20250407
127789.SH,18陶都01,宜兴拓业实业有限公司,20250413
102000709.IB,20苏国信MTN006,江苏省国信集团有限公司,20250417
102000721.IB,20徐新国资MTN001,徐州市新城区国有资产经营有限责任公司,20250417
127791.SH,18温岭01,温岭市国有资产投资集团有限公司,20250419
102000750.IB,20南浦口MTN001,南京市浦口区国有资产投资经营有限公司,20250421
032000368.IB,20咸宁城投PPN001,咸宁市城市建设投资开发有限公司,20250422
143477.SH,18贵安01,贵安新区开发投资有限公司,20250426
102000906.IB,20随州城建MTN002,随州市城市建设综合开发投资有限公司,20250429
102000929.IB,20开封发投MTN001,开封市发展投资集团有限公司,20250430
102000907.IB,20泰安城乡MTN001,泰安泰山城乡建设发展有限公司,20250430
127779.SH,18巢城投,巢湖市城镇建设投资有限公司,20250503
102000961.IB,20贾汪城投MTN001,徐州市贾汪城市建设投资有限公司,20250508
102000947.IB,20临沂经开MTN001,临沂经济开发区城市建设投资有限公司,20250508
102001092.IB,20铜陵建投MTN001,铜陵市建设投资控股有限责任公司,20250527
102001206.IB,20空港兴城MTN001,成都空港兴城投资集团有限公司,20250618
163674.SH,20筑城01,贵阳市城市建设投资集团有限公司,20250623
101800055.IB,18株洲城建MTN001,株洲市城市建设发展集团有限公司,20250723
102001433.IB,20达州投资MTN001,达州市投资有限公司,20250730
102001446.IB,20陕有色MTN002,陕西有色金属控股集团有限责任公司,20250731
127843.SH,18新宇01,毕节市七星关区新宇建设投资有限公司,20250816
102001544.IB,20金融街资MTN001,北京金融街资本运营中心,20250817
102001593.IB,20诚通控股MTN001A,中国诚通控股集团有限公司,20250821
032000747.IB,20武侯资本PPN001,成都武侯资本投资管理集团有限公司,20250826
102001646.IB,20成华旧城MTN001,成都成华旧城改造投资有限责任公司,20250827
102001725.IB,20宿州城投MTN001,宿州市城市建设投资集团(控股)有限公司,20250903
127854.SH,18尖山01,海宁市尖山新区开发有限公司,20250910
032000823.IB,20新天投资PPN001,郴州市新天投资有限公司,20250923
032000852.IB,20柳州城投PPN002,柳州市城市投资建设发展有限公司,20250928
102001845.IB,20曲文控MTN001,西安曲江文化控股有限公司,20250928
102001722.IB,20滕州国资MTN002,滕州市城市国有资产经营有限公司,20250929
102001885.IB,20南通城建MTN002,南通城市建设集团有限公司,20251014
163094.SH,20江东01,江东控股集团有限责任公司,20251107
102002120.IB,20深能源MTN002,深圳能源集团股份有限公司,20251110
102002140.IB,20江宁经开MTN003,南京江宁经济技术开发总公司,20251113
102002204.IB,20广州城投MTN002,广州市城市建设投资集团有限公司,20251126
152016.SH,18水城债,贵州水城水务投资有限责任公司,20251127
102002209.IB,20蚌埠城投MTN001,蚌埠市城市投资控股有限公司,20251127
175430.SH,20栖建01,南京栖霞建设股份有限公司,20251204
102002241.IB,20青岛城投MTN004,青岛城市建设投资(集团)有限责任公司,20251207
102002272.IB,20广州城投MTN004,广州市城市建设投资集团有限公司,20251210
152037.SH,18海发01,江苏海州湾发展集团有限公司,20251213
114926.SZ,21株国02,株洲市国有资产投资控股集团有限公司,20260208
102100312.IB,21铁建房产MTN001,中国铁建房地产集团有限公司,20260302
152121.SH,19瓯经投,温州市瓯海经济开发区建设投资集团有限公司,20260311
152127.SH,19桐乡01,桐乡市工业发展投资有限公司,20260314
152154.SH,19冶高02,湖北大冶湖高新技术产业投资有限公司,20260401
152158.SH,19孟津债,洛阳盛世城市建设投资有限公司,20260411
101681003.IB,16芜湖宜居MTN001,芜湖宜居投资(集团)有限公司,20260429
152211.SH,19万年债,江西万年国有资源投资发展股份有限公司,20260603
152237.SH,19亳城建,亳州城建发展控股集团有限公司,20260729
1980264.IB,19国兴债02,浙江国兴投资集团有限公司,20260829
123064.SZ,万孚转债,广州万孚生物技术股份有限公司,20260901
123065.SZ,宝莱转债,广东宝莱特医用科技股份有限公司,20260904
128131.SZ,崇达转2,崇达技术股份有限公司,20260907
1980301.IB,19梁平园区债,重庆梁平工业园区建设开发有限责任公司,20261031
152313.SH,19郑住投,郑州公共住宅建设投资有限公司,20261031
114893.SZ,21城投01,广州市城投投资有限公司,20261102
128143.SZ,锋龙转债,浙江锋龙电气股份有限公司,20270108
152430.SH,G20桐乡,桐乡市振东新区建设投资有限公司,20270323
2080106.IB,20淮南城投绿色债,淮南市城市建设投资有限责任公司,20270423
2180047.IB,21富阳城投债01,杭州富阳城市建设投资集团有限公司,20280209
2180030.IB,21绍交专项债01,绍兴市交通投资集团有限公司,20280301
101800320.IB,18盐城资产MTN001,盐城市城市资产经营有限公司,20280329
2080227.IB,20兖矿债02,兖矿集团有限公司,20300828
